Hà Nội: Tai nạn giao thông nghiêm trọng khiến 3 người tử vong,Tai nạn giao thông ở Hà Nội làm 3 người chết
TP.HCM: Ô nhiễm không khí tăng cao ảnh hưởng sức khỏe cộng đồng,Ô nhiễm không khí tại TP.HCM đe dọa sức khỏe dân cư
Giáo dục: Học sinh thiếu sách giáo khoa đầu năm học,Thiếu sách giáo khoa cho học sinh vào đầu năm
Y tế: Dịch sốt xuất huyết bùng phát ở miền Nam,Bùng phát dịch sốt xuất huyết tại các tỉnh miền Nam
Bất bình đẳng giới: Phụ nữ nông thôn gặp khó khăn việc làm,Phụ nữ ở nông thôn đối mặt bất bình đẳng việc làm
Nghèo đói: Hàng ngàn hộ dân thiếu thực phẩm sau lũ lụt,"Sau lũ lụt, nghìn hộ dân rơi vào cảnh nghèo đói thiếu ăn"
Di cư: Người dân miền Trung di cư tìm việc làm,Di cư lao động từ miền Trung tăng mạnh
Bạo lực gia đình: Tăng ca bạo hành phụ nữ trong đại dịch,Đại dịch làm gia tăng bạo lực gia đình đối với phụ nữ
Ma túy: Bắt giữ đường dây buôn bán ma túy lớn ở biên giới,Đường dây ma túy lớn bị triệt phá tại biên giới
Tội phạm: Tăng vụ trộm cắp ở khu đô thị mới,Khu đô thị mới chứng kiến tăng tội phạm trộm cắp
Môi trường: Rừng Amazon bị phá hủy nghiêm trọng,Phá rừng Amazon đe dọa môi trường toàn cầu
Sức khỏe tâm thần: Thanh niên gặp vấn đề sau đại dịch,"Sau đại dịch, thanh niên đối mặt sức khỏe tâm thần kém"
Giáo dục đại học: Sinh viên thiếu học bổng hỗ trợ,Thiếu học bổng cho sinh viên đại học
Y tế công cộng: Thiếu vaccine cho trẻ em ở nông thôn,Trẻ em nông thôn thiếu vaccine y tế
Bình đẳng xã hội: Người khuyết tật gặp rào cản việc làm,Rào cản việc làm cho người khuyết tật trong xã hội
Ô nhiễm sông ngòi: Sông Hồng bị ô nhiễm nặng,Ô nhiễm nặng nề tại sông Hồng
Lao động trẻ em: Tăng ca lao động trẻ em ở khu công nghiệp,Khu công nghiệp thấy tăng lao động trẻ em
Biến đổi khí hậu: Lũ lụt thường xuyên hơn ở miền Tây,Miền Tây đối mặt lũ lụt do biến đổi khí hậu
Sức khỏe phụ nữ: Tăng ca ung thư vú ở đô thị,Ung thư vú tăng ở phụ nữ đô thị
Tội phạm mạng: Tấn công lừa đảo trực tuyến gia tăng,Gia tăng lừa đảo trực tuyến trên mạng
Giáo dục trực tuyến: Học sinh gặp khó khăn kết nối,Khó khăn kết nối cho học sinh giáo dục trực tuyến
Y tế tâm thần: Người cao tuổi cô lập sau đại dịch,"Sau đại dịch, người cao tuổi gặp cô lập tâm thần"
Môi trường đô thị: Thiếu cây xanh ở thành phố lớn,Thành phố lớn thiếu cây xanh môi trường
Bất bình đẳng thu nhập: Khoảng cách giàu nghèo mở rộng,Mở rộng khoảng cách giàu nghèo trong xã hội
Di cư đô thị: Người dân nông thôn đổ về thành phố,Đổ về thành phố: Di cư từ nông thôn
Bạo lực học đường: Tăng vụ bắt nạt ở trường học,Bắt nạt học đường tăng ở các trường
Ma túy học đường: Học sinh tiếp cận ma túy dễ dàng,Dễ dàng tiếp cận ma túy ở học đường
Tội phạm đường phố: Trộm cắp xe máy phổ biến,Phổ biến trộm cắp xe máy trên đường phố
Ô nhiễm nhựa: Bãi biển đầy rác thải nhựa,Rác thải nhựa ô nhiễm bãi biển
Sức khỏe trẻ em: Thiếu dinh dưỡng ở vùng sâu,Vùng sâu thiếu dinh dưỡng cho trẻ em
Giáo dục giới tính: Thiếu chương trình ở trường học,Trường học thiếu giáo dục giới tính
Y tế nông thôn: Thiếu bác sĩ chuyên khoa,Nông thôn thiếu bác sĩ y tế chuyên khoa
Bình đẳng dân tộc: Người dân tộc thiểu số gặp bất lợi,Bất lợi cho người dân tộc thiểu số trong xã hội
Biến đổi khí hậu: Nông dân mất mùa do hạn hán,Hạn hán do biến đổi khí hậu làm nông dân mất mùa
Sức khỏe nam giới: Tăng ca trầm cảm ở độ tuổi trung niên,Trầm cảm tăng ở nam giới trung niên
Tội phạm kinh tế: Gian lận thuế phổ biến,Phổ biến gian lận thuế trong kinh tế
Giáo dục nghề nghiệp: Thiếu kỹ năng cho lao động trẻ,Lao động trẻ thiếu kỹ năng nghề nghiệp
Y tế dự phòng: Thiếu chiến dịch tiêm chủng,Thiếu tiêm chủng y tế dự phòng
Môi trường nông thôn: Ô nhiễm thuốc trừ sâu,Thuốc trừ sâu ô nhiễm môi trường nông thôn
Bất bình đẳng giáo dục: Trẻ em nghèo thiếu cơ hội học tập,Thiếu cơ hội học tập cho trẻ em nghèo
Di cư quốc tế: Người Việt tìm việc ở nước ngoài,Tìm việc nước ngoài: Di cư quốc tế của người Việt
Bạo lực xã hội: Tăng vụ ẩu đả đường phố,Ủa đả đường phố tăng trong xã hội
